step,total_steps,loss,kl_loss,policy_ratio,reward_avg,tokens_per_sec,avg_response_len,adv_avg,adv_std,entropy_avg,eval_acc
216,500,24.257271,24.257271,0.905919,0.000000,22.339033,930.875000,0.000000,0.000000,11.924789,
217,500,25.393867,25.393867,1.208402,0.000000,22.894675,980.625000,0.000000,0.000000,11.924336,
218,500,26.648630,26.648630,0.858836,0.000000,23.443319,1024.000000,0.000000,0.000000,11.923931,
219,500,27.032011,27.032011,0.398056,0.000000,23.226554,1024.000000,0.000000,0.000000,11.924380,
220,500,26.149086,26.149086,0.587913,0.000000,23.492010,1024.000000,0.000000,0.000000,11.924997,
221,500,26.685165,26.685165,1.483746,0.000000,23.359378,1024.000000,0.000000,0.000000,11.924747,
222,500,27.091125,27.091125,0.678217,0.000000,23.508662,1024.000000,0.000000,0.000000,11.924797,
223,500,27.747562,27.747562,0.386895,0.000000,23.441220,1024.000000,0.000000,0.000000,11.925275,
224,500,26.552025,26.552025,0.752485,0.000000,23.373634,1024.000000,0.000000,0.000000,11.925520,
225,500,27.503544,27.503544,3.215900,0.000000,23.414746,1024.000000,0.000000,0.000000,11.924005,
226,500,27.243216,27.243216,0.700633,0.000000,23.351731,1024.000000,0.000000,0.000000,11.922686,
227,500,27.349340,27.349340,0.249120,0.000000,23.502088,1024.000000,0.000000,0.000000,11.923469,
228,500,26.896431,26.896431,0.320846,0.000000,23.496923,1024.000000,0.000000,0.000000,11.924660,
229,500,26.898186,26.898186,1.204114,0.000000,23.243451,1024.000000,0.000000,0.000000,11.925468,
230,500,26.669359,26.669359,1.757549,0.000000,23.375602,1024.000000,0.000000,0.000000,11.925241,
231,500,26.390852,26.390852,1.009441,0.000000,23.476997,1024.000000,0.000000,0.000000,11.925026,
232,500,25.916220,25.916220,0.449272,0.000000,23.381313,1024.000000,0.000000,0.000000,11.925101,
233,500,26.429277,26.429277,0.352106,0.000000,23.444234,1024.000000,0.000000,0.000000,11.925714,
234,500,26.697512,26.697512,1.196652,0.000000,23.526743,1024.000000,0.000000,0.000000,11.925354,
235,500,26.231947,26.231947,0.993936,0.000000,23.481407,1024.000000,0.000000,0.000000,11.924763,
236,500,27.374186,27.374186,0.667172,0.000000,23.485055,1024.000000,0.000000,0.000000,11.924514,
237,500,26.856728,26.856728,0.488347,0.000000,23.396094,1024.000000,0.000000,0.000000,11.924924,
238,500,27.617123,27.617123,1.066650,0.000000,23.524167,1024.000000,0.000000,0.000000,11.925449,
239,500,27.084146,27.084146,0.853987,0.000000,23.393089,1024.000000,0.000000,0.000000,11.925373,
240,500,27.334658,27.334658,1.029349,0.000000,23.522541,1024.000000,0.000000,0.000000,11.925449,
241,500,26.720549,26.720549,0.803678,0.000000,23.546148,1024.000000,0.000000,0.000000,11.925769,
242,500,26.392365,26.392365,1.021611,0.000000,23.537561,1024.000000,0.000000,0.000000,11.925554,
243,500,26.043770,26.043770,1.181468,0.000000,23.433117,1024.000000,0.000000,0.000000,11.925061,
244,500,26.327526,26.327526,0.631738,0.000000,23.333185,1024.000000,0.000000,0.000000,11.924939,
245,500,26.732758,26.732758,0.507554,0.000000,23.473911,1024.000000,0.000000,0.000000,11.925688,
246,500,26.883593,26.883593,0.914242,0.000000,23.554042,1024.000000,0.000000,0.000000,11.925994,
247,500,26.459221,26.459221,1.648632,0.000000,23.220569,1024.000000,0.000000,0.000000,11.925919,
248,500,28.099640,28.099640,0.902696,0.000000,23.644603,1024.000000,0.000000,0.000000,11.925247,
249,500,27.969414,27.969414,0.349886,0.000000,23.539873,1024.000000,0.000000,0.000000,11.925596,
250,500,27.099630,27.099630,0.639760,0.000000,23.523754,1024.000000,0.000000,0.000000,11.926128,0.0
251,500,26.414619,26.414619,1.520026,0.000000,23.421625,1024.000000,0.000000,0.000000,11.925611,
252,500,27.028776,27.028776,0.875119,0.000000,25.192207,1024.000000,0.000000,0.000000,11.924825,
253,500,26.901474,26.901474,0.391364,0.000000,23.607237,1024.000000,0.000000,0.000000,11.925156,
254,500,26.369638,26.369638,0.442264,0.000000,23.738245,1024.000000,0.000000,0.000000,11.925871,
